x, y, z, pressure, velmag, vx, vy, vz
0.12195, 0.88710, 0.0, -0.00410, 1.00199, 1.00199, -0.00280, 0.0
0.12195, 0.91935, 0.0, -0.00390, 1.00182, 1.00182, -0.00357, 0.0
0.12195, 0.95161, 0.0, -0.00375, 1.00033, 1.00031, -0.00698, 0.0
0.12195, 0.98387, 0.0, 0.00000, 0.98373, 0.98372, 0.00501, 0.0
0.12195, 1.00000, 0.0, 0.00187, 0.00000, 0.00000, 0.00000, 0.0
0.36585, 0.00000, 0.0, -0.00618, 0.00000, 0.00000, 0.00000, 0.0
0.36585, 0.01613, 0.0, -0.00638, 0.96428, 0.96428, -0.00012, 0.0
0.36585, 0.04839, 0.0, -0.00677, 0.99847, 0.99846, 0.00462, 0.0
0.36585, 0.08065, 0.0, -0.00639, 1.00294, 1.00294, 0.00306, 0.0
0.36585, 0.11290, 0.0, -0.00636, 1.00375, 1.00374, 0.00292, 0.0
0.36585, 0.14516, 0.0, -0.00642, 1.00373, 1.00373, 0.00278, 0.0
0.36585, 0.17742, 0.0, -0.00647, 1.00349, 1.00348, 0.00252, 0.0
0.36585, 0.20968, 0.0, -0.00651, 1.00320, 1.00320, 0.00225, 0.0
0.36585, 0.24194, 0.0, -0.00656, 1.00293, 1.00293, 0.00198, 0.0
0.36585, 0.27419, 0.0, -0.00661, 1.00270, 1.00270, 0.00172, 0.0
0.36585, 0.30645, 0.0, -0.00665, 1.00251, 1.00251, 0.00147, 0.0
0.36585, 0.33871, 0.0, -0.00669, 1.00236, 1.00236, 0.00121, 0.0
0.36585, 0.37097, 0.0, -0.00673, 1.00224, 1.00224, 0.00097, 0.0
0.36585, 0.40323, 0.0, -0.00676, 1.00215, 1.00215, 0.00072, 0.0
0.36585, 0.43548, 0.0, -0.00678, 1.00209, 1.00209, 0.00048, 0.0
0.36585, 0.46774, 0.0, -0.00680, 1.00205, 1.00205, 0.00024, 0.0
0.36585, 0.50000, 0.0, -0.00680, 1.00204, 1.00204, -0.00000, 0.0
0.36585, 0.53226, 0.0, -0.00680, 1.00205, 1.00205, -0.00024, 0.0
